Name,SamAccountName,Description,CanonicalName
PlantationPSR,PlantationPSR,This is a user account for Plantation office BIM Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/PlantationPSR
CLT Founders Hall Large Conference Room,CLTFHallLrgeConfRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/CLT Founders Hall Large Conference Room
CLT Meeting Room South,CLTMeetingRmSouth,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Meeting Room South
Video Conferencing Charlotte,VideoConfCharlotte,CLT Office  Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing Charlotte
Video Conferencing Atlanta,VideoConfAtlanta,ATL Office Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/Video Conferencing Atlanta
CLT Shared Services Room,CLTSharedServicesRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Shared Services Room
Video Conferencing Raleigh,VideoConfRaleigh,RAL Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing Raleigh
Video Conferencing FtBliss,VideoConfFtBliss,FtBliss Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing FtBliss
CLT Barringer Training Room,CLTBarringerTrainRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Barringer Training Room
Video Conferencing FtCarson,VideoConfFtCarson,FtCarson Video Conferencing,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/Video Conferencing FtCarson
CLT Training Room,clttrainingroom,CLT Office Training Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Training Room
NMC Small Conference Room,NMCSmallConferenceRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/NMC Small Conference Room
CLT East Region Conference Room,CLTEastRegionConf,,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT East Region Conference Room
CLT Operations Room,CLTOpsRoom,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Operations Room
NMC Large Conference Room,NMCLargeConferenceRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/NMC Large Conference Room
CLT Founders Hall Small Conference Room,CLTFHallSmallConfRm,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/CLT Founders Hall Small Conference Room
CLT Conference Room,CLTConfRoom,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Conference Room
RAL Projector,RALProjector,RAL Office Projector,BBC.Local/BalfourBeattyUS/Southeast/Southeast Resources/RAL Projector
CLT Virtual Construction Lab,CLTVirtualConstLab,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Virtual Construction Lab
CLT Meeting Room North,CLTMeetingRmNorth,Conference Room,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/CLT Meeting Room North
WASH South Carolina Room,WASHSouthCarolinaRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH South Carolina Room
Video Conferencing Fairfax,VideoConfFairfax,Fairfax Video Conferencing,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Video Conferencing Fairfax
Video Conferencing Fairfax II,VideoConfFairfaxII,Fairfax Video Conferencing,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Video Conferencing Fairfax II
WASH New York Room,WASHNewYorkRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH New York Room
WASH New Jersey Room,WASHNewJerseyRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH New Jersey Room
WASH Rhode Island Room,WASHRhodeIslandRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/WASH Rhode Island Room
Fairfax Tablecloth,FairfaxTablecloth,Fairfax Tablecloth Calendar,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/Fairfax Tablecloth
Washington MPR Meetings,WashGPSMeetings,,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/Users/Washington MPR Meetings
