Name,SamAccountName,Description,CanonicalName
"Complience, Test",CompTest,,"BBC.Local/Users/Complience, Test"
Fort Worth Office Conference Room,FWOfficeConfRoom,FW Office in Ft.Worth,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/Fort Worth Office Conference Room
"Harmony, Jitterbit",Harmony,Jitterbit Service Account for Integrations for Bim 360 Field Integration (See Jennifer Mussell),"BBC.Local/Datacenter/Service Accounts/Harmony, Jitterbit"
CWHGP Vacation Calendar,cwhgpvacationcal,,BBC.Local/BalfourBeattyUS/DFW/_DFW Jobsites/Archived Jobsites/Vancouver/CWHGP Vacation Calendar
SSDH,SSDH,Backup Account for David Hodnett,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSDH
SSEL,SSEL,Backup Account for Ed Littleton,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSEL
SSGB,SSGB,Backup Account for Glenn Burns,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSGB
SSLK,SSLK,Backup Account for Larry Kennedy,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSLK
SSRS,SSRS,Backup Account for Rick Smith,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSRS
SSRD,SSRD,Backup Account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/SSRD
Broadway Tower Conference,BroadwayTowerConfere,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/Broadway Tower Conference
PDX Treadmill,PDXTreadmill,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/Users/PDX Treadmill
bbcusserviceacct,bbcusserviceacct,Connects Egnyte storage sync App that runs on the Netgear ReadyNAS devices to the Egnyte Cloud for Syncing,BBC.Local/BalfourBeattyUS/DFW/DFW Groups/bbcusserviceacct
Arizona Conference Room,ArizonaConfRoom,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/Regions/Phoenix/Users/Office/Arizona Conference Room
PDX Garage,PDXGarage,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/PDX Garage
AWSDATA,AWSDATA,Account used for AWS-Data AD Connector Service,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSDATA
SAN Quail – West,SANQuailWest,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Irvine Users/SAN Quail – West
PDX Studio,PDXStudio,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/PDX Studio
PDX Workshop,PDXWorkshop,Skype phone account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/PDX Workshop
Harrison Acute Care Expansion project,HarrisonAcuteCare,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/Harrison Acute Care Expansion project
SAN Coronado,SANCoronado,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Coronado
SAN Dodge Marketshare,SANDodgeMarketshare,,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Dodge Marketshare
SAN Mission,SANMission,Conference Room Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN Mission
SAN SDCWDF-LG,SANSDCWDFLG,Mailbox Calendar,BBC.Local/BalfourBeattyUS/Barnhart/Users/Projects and Calendars/SAN SDCWDF-LG
SAN OC Room,SANOCRoom,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Irvine Users/SAN OC Room
SAN Quail – East,SanQuailEast,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Irvine Users/SAN Quail – East
AWSDATAROOT,awsdataroot,Root account for AWS-Data MAIL ENABLED,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSDATAROOT
Dallas Mobile Cart,DallasMobileCart,Skype phone account MOBILE CART - NEED OFFICE LICENSE,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Dallas Mobile Cart
BAE_arcsight_EOP,arcsightEOP,,BBC.Local/Datacenter/Service Accounts/BAE Systems/BAE_arcsight_EOP
AvectoSVC,AvectoSVC,"Avect Beyond Trust Service Account (Do no delete, change password or disable!)",BBC.Local/Datacenter/Service Accounts/AvectoSVC
RIV Citrus,RiversideConf2,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Riverside/RIV Citrus
LDAP Masergy,LDAPMasergy,Account for Masergy Unity,BBC.Local/BalfourBeattyUS/LDAP Masergy
LANSWEEPER,LANSWEEPER,,BBC.Local/Datacenter/Service Accounts/LANSWEEPER
ramscanner,ramscanner,Used for Scanners at Ramsey Office,BBC.Local/BalfourBeattyUS/BB Management/Users/ramscanner
AWSDATADEV,awsdatadev,Root account for AWS-Data-Dev MAIL ENABLED,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSDATADEV
AWSDATAPROD,awsdataprod,Root account for AWS-Data-Prod MAIL ENABLED,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSDATAPROD
PLA PSR1 Conference Room,PLAPSR1ConferenceRoo,,BBC.Local/BalfourBeattyUS/Florida/Florida Resources/PLA PSR1 Conference Room
Waterjet,waterjet,Waterjet Machine account TPG NC,BBC.Local/BalfourBeattyUS/Civils/Transit/Traction Power Supply/Groups/Waterjet
ScanUserDal,Scanuserdal,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/ScanUserDal
svc-powerbigw,svc-powerbigw,Service account for the PowerBI Gateway server in aws-data-prod,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/svc-powerbigw
16018000 Fisher Investments Conference Room,FisherInvestmentsCon,Skype license for Conference Phone (Portland),BBC.Local/BalfourBeattyUS/HSW/Regions/Maibox Accounts/16018000 Fisher Investments Conference Room
SCCMExch,SCCMExch,SCCM Exchange connector,BBC.Local/Datacenter/Service Accounts/SCCMExch
DeltekTEsvc,deltektesvc,Deltek Time and Expense Service Account,BBC.Local/Datacenter/Service Accounts/DeltekTEsvc
JDE Integration Service Account,_JBITINT,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Integration Service Account
Prequal Online Inquiry,prequal,Risk Management (Kentico web app) Needs office license,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Communication Mailboxes/Prequal Online Inquiry
VC Orlando Buildings,VCOrlandoBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Orlando Buildings
VC Austin Buildings,VCAustinBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Austin Buildings
PDX Lab 2,PDXLab2,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/PDX Lab 2
VC Denver Civils,VCDenverCivils,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Denver Civils
VC Dallas Buildings,VCDallasBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Dallas Buildings
RIV Mission,RiversideConf1,Skype phone account,BBC.Local/BalfourBeattyUS/Barnhart/Users/Riverside/RIV Mission
PoppuloSVC,poppulosvc,Poppulo integration account,BBC.Local/Datacenter/Service Accounts/PoppuloSVC
VC Austin Civils,VCAustinCivils,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Austin Civils
Jira,Jira,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Communication Mailboxes/Jira
JitterBit2,Jitterbit2,integrations,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/JitterBit2
"Service Account, AWSSQLDWPRD01",AWSSQLDWPRD01_svc,Service account for SQL server services (Do not modify or delete),"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/Service Account, AWSSQLDWPRD01"
legal hold,legalhold,account for legal Contact (Aaron Bath),BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/legal hold
VC Wilmington Civils,VCWilmingtonCivils,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Wilmington Civils
svc-proofpoint,svc-proofpoint,Service account used to monitor Azure riskty sign-ins,BBC.Local/Datacenter/Service Accounts/svc-proofpoint
HyperionService,HyperionService,Service Account,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/HyperionService
BeckSVC,BeckSVC,Used for Destini scheduled tasks AZDestini,BBC.Local/Datacenter/Service Accounts/BeckSVC
"Authentication, LDAP",ldapauth,Used by systems that authenticate users over LDAP,"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/SharedResources/Authentication, LDAP"
PBCS Admin,pbcsadmin,"This is the mailbox for the admin account for Hyperion PBCS Cloud Service, contact Uma Cheripally (IT) with questions.  A mailbox is required to manage PW reset requests from Oracle.",BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/PBCS Admin
VC Portland Buildings,VCPortlandBuildings,Main office,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Portland Buildings
VC Plantation Buildings,VCPlantationBuilding,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Plantation Buildings
VC Seattle Buildings,VCSeattleBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Seattle Buildings
BBUS Data Warehouse,BBUSDataWarehouse,,BBC.Local/Datacenter/Service Accounts/BBUS Data Warehouse
VC Dallas Corp,VCDallasCorp,Video Conference Dallas 6th floor,BBC.Local/BalfourBeattyUS/DFW/DFW Groups/VC Dallas Corp
Engraving,Engraving,Engraving Machine account TPG NC,BBC.Local/BalfourBeattyUS/Civils/Transit/Traction Power Supply/Users/Engraving
VC Fleming Island Civils,VCFlemingIslandCivil,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Fleming Island Civils
PDX Lab 1,PDXLab1,Skype phone account,BBC.Local/BalfourBeattyUS/HSW/MailboxAccounts/PDX Lab 1
VC LaVerne Civils,VCLaVerneCivils,,BBC.Local/BalfourBeattyUS/Civils/Transit/La Verne CA/Groups/VC LaVerne Civils
"Service Account, AWSSQLDWDEV01",AWSSQLDWDEV01_svc,Service account for SQL server services (Do not modify or delete),"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/Service Account, AWSSQLDWDEV01"
VC Charlotte Buildings,VCCharlotteBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Charlotte Buildings
VC New Bern Civils,vcnewberncivils,,BBC.Local/BalfourBeattyUS/Civils/Groups/Special Access Groups/VC New Bern Civils
VC Broward Buildings,vcbrowardbuildings,,BBC.Local/BalfourBeattyUS/Florida/Florida Groups/VC Broward Buildings
VC Humble Civils,vchumblecivils,,BBC.Local/BalfourBeattyUS/Civils/Groups/Special Access Groups/VC Humble Civils
AWSPRD-WEST,awsprd-west,Account used for the AWS-WEST PRD AD Connector service,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSPRD-WEST
VC Dallas LBJ 635,vcdallaslbj635,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Dallas LBJ 635
"Automation, AD",adautomation,[DO NOT DELETE] Account used to script automated updates to Active Directory,"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/AD Service Accounts/Automation, AD"
AWS-CWArchive,AWS-CWArchive,,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWS-CWArchive
VC JJC Buildings,VCJJCBuildings,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC JJC Buildings
X30 Charlotte Buildings,x30cltbldgs,,BBC.Local/BalfourBeattyUS/Southeast/_Charlotte/X30 Charlotte Buildings
svc-egnyteprotect,svc-egnyteprotect,Egnyte Protect Service Account,BBC.Local/Datacenter/Service Accounts/svc-egnyteprotect
UKSharePointExtract,UKSharePointExtract,Account used by the UK to pull the US Gift Register into Sharepoint,BBC.Local/Datacenter/Service Accounts/UKSharePointExtract
WASH Chesapeake Room,WASHChesapeakeRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/Washington Groups/WASH Chesapeake Room
WASH Rappahannock and Potomac Room,WASHRappahannockRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/Washington Groups/WASH Rappahannock and Potomac Room
WASH The Lake Anna Room,WASHTheLakeAnnaRm,Conference Room,BBC.Local/BalfourBeattyUS/Washington/Washington Groups/WASH The Lake Anna Room
"AZSQLPROD01-2016, Service Account",AZSQLPROD01-2016,Service Account for AZSQLPROD01 SQL server 2016. (Do not delete or change password),"BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/AZSQLPROD01-2016, Service Account"
AWSOrgs-log-archive,AWSOrgs-log-archive,Account for AWS Organizations log archive MAIL ENABLED,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSOrgs-log-archive
AWSOrgs-audit,AWSOrgs-audit,Account for AWS Organizations audit MAIL ENABLED,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSOrgs-audit
JDE Dayforce Integration,_JBITDF,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Dayforce Integration
"svc-egnyteaudit, BBUS",svc-egnyteaudit,Egnyte Audit app service account,"BBC.Local/Datacenter/Service Accounts/svc-egnyteaudit, BBUS"
BBUS svc-egnyteauditapp,svc-egnyteauditapp,Service account used for running Egnyte Audits,BBC.Local/Datacenter/Service Accounts/BBUS svc-egnyteauditapp
ATL Warehouse Training Room,ATLWarehouseTraining,AtlantaTraining Center,BBC.Local/BalfourBeattyUS/Southeast/_Atlanta/ATL Warehouse Training Room
PlantationBR,PlantationBR,This is a user account for Plantation Board Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/PlantationBR
VC Dallas Deep Ellum,VCDallasDeepEllum,Skype phone account - NEED OFFICE LICENSE,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/DFW Rooms and Resources/VC Dallas Deep Ellum
svc-smartsheet-api,svc-smartsheet-api,,BBC.Local/Datacenter/Service Accounts/svc-smartsheet-api
PlantationPSR2,PlantationPSR2,This is a user account for Plantation office BIM Room,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/PlantationPSR2
AWSFSXServiceAccount,AWSFSXServiceAccount,,BBC.Local/Datacenter/Service Accounts/AWS Service Accounts/AWSFSXServiceAccount
Rental Results Sender,rrinvoicesender,Account used to send Rental Results invoices (do not change password or delete),BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/Communication Mailboxes/Rental Results Sender
National Safety Training,NationalSafetyTrain,(Account is licensed for Teams and video presentation downloading) (Office license needed),BBC.Local/BalfourBeattyUS/Southeast/Southeast Distribution Groups/National Safety Training
JDE Health Check,_jdehealth,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Health Check
JDE AIS Service Account,_JDEAIS,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE AIS Service Account
JDE Workflow Service Account,_JDEWRKFLW,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Workflow Service Account
JDE RTE Service Account,_JDERTE,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE RTE Service Account
Scanner,Scanner,(account used for Scan to email - TLS 1.2),BBC.Local/BalfourBeattyUS/DFW/DFW Groups/Scanner
Exchange Reporter Plus,exchrepplus,,BBC.Local/Datacenter/Service Accounts/Exchange Reporter Plus
BrowardConferenceRoom,BrowardConferenceRoo,This is a user account for BCCCH Conference room see Xavier Santana,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/BrowardConferenceRoom
JDE Deltek Integration Account (Accounts),_JBITDTEAC,,BBC.Local/BalfourBeattyUS/JDEdwards/JDE Deltek Integration Account (Accounts)
AWSHYPETL01_svc,AWSHYPETL01_svc,Service Account that run SQL Server services.,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/AWSHYPETL01_svc
PCBS Tasks,PCBS_Tasks,Service account setup to run a scheduled task on an SQL server,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/PCBS Tasks
Atlanta Balfour Beatty Equipment,bbeatl,Service Account- Contact Anthony Mathis,BBC.Local/BalfourBeattyUS/Southeast/Southeast Distribution Groups/Atlanta Balfour Beatty Equipment
BrowardTrainingRoom,BrowardTrainingRoom,This is a user account for BrowardTrainingRoom see Xavier Santana,BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/Plantation Rooms and Resources/BrowardTrainingRoom
svc-DWBBUSReportReader,svc-DWBBUSReportRead,,BBC.Local/BalfourBeattyUS/DFW/_Dallas CityMark Office/IT/SQL Server Service Accounts/svc-DWBBUSReportReader
svc-egnyteintegration,svcegnyteintegration,Used for Egnyte app integration (JMcPherson),BBC.Local/Datacenter/Service Accounts/svc-egnyteintegration
OktaDSSO,OktaDSSO,Service Account for agentless OktaDSSO,BBC.Local/Datacenter/Service Accounts/OktaDSSO
FRB Conference Room,FRBConferenceRm,licnesed account - see Rob Laib,BBC.Local/BalfourBeattyUS/Washington/_Fairfax/WASH Resource Reservations/FRB Conference Room
P904Bowser,P904Bowser,This is a user account for P904 Bowser Castle Room (See Xavier Santana setup 8.19.22),BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/P904Bowser
P904Peach,P904Peach,This is a user account for P904 Peach Room (See Xavier Santana setup 8.19.22),BBC.Local/BalfourBeattyUS/Florida/_Plantation Office/P904Peach
TEST S08CSHCMBA,TESTS08CSHCMBA,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S08CSHCMBA
TEST S08DVHRMGT,TESTS08DVHRMGT,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S08DVHRMGT
TEST S08CSHRMGT,TESTS08CSHRMGT,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S08CSHRMGT
TEST S07CSPYSTF,TESTS07CSPYSTF,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S07CSPYSTF
TEST S08DVHRSTF,TESTS08DVHRSTF,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S08DVHRSTF
TEST S07CSPYMGT,TESTS07CSPYMGT,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S07CSPYMGT
TEST S08CSBNADM,TESTS08CSBNADM,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S08CSBNADM
TEST S07CSPYADM,TESTS07CSPYADM,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S07CSPYADM
TEST S09DVACMGR,TESTS09DVACMGR,Test JDE Account for Shawn Hancock,BBC.Local/BalfourBeattyUS/JDEdwards/TEST S09DVACMGR
svc-c-scan,svc-c-scan,For scan to email in Central AOR,BBC.Local/BalfourBeattyUS/OPs Service Accounts/svc-c-scan
svc-e-scan,svc-e-scan,For scan to email in East AOR,BBC.Local/BalfourBeattyUS/OPs Service Accounts/svc-e-scan
svc-w-scan,svc-w-scan,For scan to email in West AOR,BBC.Local/BalfourBeattyUS/OPs Service Accounts/svc-w-scan
svc-appstream,svc-appstream,Used in the JDE AWS account for AppStream 2.0,BBC.Local/Datacenter/Service Accounts/svc-appstream
