NetworkId,Name
L_583216151744486627,West-CA-Warm Springs ES
L_583216151744488705,West-CA-Newport Beach Office 
L_583216151744489001,West-CA-Civils La Verne Ca Office-MX68W-Q2LY-4UQ6-GXW6
