Identifier,Tag: Name,Service,Type,Region,Tag: CostCentre,Tag: Domain,Tag: Environment,Tag: ManagedStackSource,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags
ds007-satisfacts-LoadFunction-WJ56H9NWCPP7,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds007-satisfacts/2f7ddd80-d65a-11ea-89ed-0e167b726915,ds007-satisfacts,SAM,4
ds017-commandersevaluationrep-PreIngestionFunction-D1I14FGY0DMI,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds017-commandersevaluationreport/0f8a1b70-d66d-11ea-90d7-1266e578c117,ds017-commandersevaluationreport,SAM,4
ds025-staffbudgetcodes-LoadFunction-CUVJHOJ2MYVL,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds025-staffbudgetcodes/5751d680-d66a-11ea-817b-0e1cfc6fd327,ds025-staffbudgetcodes,SAM,4
ds043-staffingturnoverdetail-PreIngestionFunction-4s1cXV0RXrNA,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds043-staffingturnoverdetail/3132bec0-03d5-11ed-90e2-0af0e7f56f01,ds043-staffingturnoverdetail,SAM,4
ds011-staffresourcingbudget-TransformFunction-1DEPBIXGBTFGQ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds011-staffresourcingbudget/a0d3be50-d65f-11ea-bae3-12cf4a8c2bc2,ds011-staffresourcingbudget,SAM,4
ds021-budgetadpmapping-TransformFunction-1ATXJ0K7M0JIV,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds021-budgetadpmapping/aa3f9290-d667-11ea-8218-12e346dd5d0c,ds021-budgetadpmapping,SAM,4
ds040-armyincentivemgmtfees-ExtractFunction-HK6L4vADxjSs,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds040-armyincentivemgmtfees/e81c7970-aadc-11ec-9d91-0a5ee45c72b7,ds040-armyincentivemgmtfees,SAM,4
ds040-armyincentivemgmtfees-PreIngestionFunction-R1EkJ4xOS3mC,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds040-armyincentivemgmtfees/e81c7970-aadc-11ec-9d91-0a5ee45c72b7,ds040-armyincentivemgmtfees,SAM,4
ds020-birddogadpmapping-ExtractFunction-1LOZF5D1149VL,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds020-birddogadpmapping/56127580-d666-11ea-8d3c-0e71a2c850a7,ds020-birddogadpmapping,SAM,4
ds051-complaintsmapping-TransformFunction-tMxkEaR1dtxf,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds051-complaintsmapping/ba5c1bd0-b84b-11ed-918a-1228ee828b09,ds051-complaintsmapping,SAM,4
ds032-dcr-PreIngestionFunction-jTnS2MEcwVcu,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds032-dcr/a4465f20-205f-11ec-980c-0ae9b1293849,ds032-dcr,SAM,4
ds010-location-TransformFunction-61GCUXQFR0NW,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds010-location/3ece2a70-d65e-11ea-aa87-0e794c84352f,ds010-location,SAM,4
ds047-staffingkeypolicydates-PreIngestionFunction-RPdWzu5YqlX3,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds047-staffingkeypolicydates/0ec1f040-0ed4-11ed-8e1b-0eb7cabfb9c9,ds047-staffingkeypolicydates,SAM,4
ds035-staffingmapping-TransformFunction-AM9UacuZ8hfZ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds035-staffingmapping/c0fd8340-7ae2-11ec-9496-0a7f234b925f,ds035-staffingmapping,SAM,4
ds037-incentivemgmtfees-ExtractFunction-FgpWdMuXUgLA,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds037-incentivemgmtfees/4de37670-9b59-11ec-a4cf-0e2373c16185,ds037-incentivemgmtfees,SAM,4
ds038-feerevenueprojectmappin-PreIngestionFunction-7Vo3y80Tqvv0,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds038-feerevenueprojectmapping/b5684ff0-9e74-11ec-8ff6-0e5c5f996043,ds038-feerevenueprojectmapping,SAM,4
ds019-thirdpartycontractoratt-PreIngestionFunction-175XF3M82IJ9Z,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds019-thirdpartycontractorattendance/64053170-d66e-11ea-9bff-12eeb59f3ad1,ds019-thirdpartycontractorattendance,SAM,4
ds039-riadata-TransformFunction-QZtcOsXeO5SY,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds039-riadata/b07e40c0-a181-11ec-873c-0ea9debfa557,ds039-riadata,SAM,4
ds039-riadata-PreIngestionFunction-X3xK3l81MGjb,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds039-riadata/b07e40c0-a181-11ec-873c-0ea9debfa557,ds039-riadata,SAM,4
ds038-feerevenueprojectmapping-TransformFunction-bQuB1KWnT6Du,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds038-feerevenueprojectmapping/b5684ff0-9e74-11ec-8ff6-0e5c5f996043,ds038-feerevenueprojectmapping,SAM,4
ds001-yardi-PreIngestionFunction-afU98yhXoZFV,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds001-yardi/52855e20-2221-11ec-9d85-0eeab89089ef,ds001-yardi,SAM,4
ds018-annualcelreport-ExtractFunction-W203C8R9E0S1,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds018-annualcelreport/fadde060-d664-11ea-8750-1214c28caebf,ds018-annualcelreport,SAM,4
ds023-adplocation-ExtractFunction-1AW7401RK1UX2,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds023-adplocation/bac6d8e0-d66b-11ea-baca-121b58656156,ds023-adplocation,SAM,4
ds055-staffingpendingfilled-TransformFunction-Tmq9qcyToCzs,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds055-staffingpendingfilled/24b429a0-d3bd-11ed-ab72-0a9ba2e7006d,ds055-staffingpendingfilled,SAM,4
ds045-staffingturnovermapping-LoadFunction-uPUIbP8YuwJG,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds045-staffingturnovermapping/97888d10-07bf-11ed-9c09-0ebf23891dc1,ds045-staffingturnovermapping,SAM,4
ds030-dayforcehcm-TransformFunction-NqcSnopDjJGt,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds030-dayforcehcm/096ecd70-1a38-11ec-910c-0a3d0a4ac375,ds030-dayforcehcm,SAM,4
ds022-birddoglocation-TransformFunction-13TCGB9902SSK,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds022-birddoglocation/00a365c0-d669-11ea-a2dd-0e4c53e0aefd,ds022-birddoglocation,SAM,4
ds033-dcrprojectmapping-ExtractFunction-1X8Ig54VKggl,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds033-dcrprojectmapping/cc4fa580-205a-11ec-a44b-0a6da4dd8b6b,ds033-dcrprojectmapping,SAM,4
ds004-rentcafe-ExtractFunction-WWAQYABZUVHY,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds004-rentcafe/9610b0c0-d652-11ea-835f-127c6c2d7f71,ds004-rentcafe,SAM,4
ds011-staffresourcingbudget-ExtractFunction-1RFO46IIHXOSO,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds011-staffresourcingbudget/a0d3be50-d65f-11ea-bae3-12cf4a8c2bc2,ds011-staffresourcingbudget,SAM,4
ds036-feerevenue-PreIngestionFunction-tpMlIZTj1vFF,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds036-feerevenue/43e04e00-8e89-11ec-8bc6-0e7044379437,ds036-feerevenue,SAM,4
ds032-dcr-LoadFunction-XCBxQJdmQHIe,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds032-dcr/a4465f20-205f-11ec-980c-0ae9b1293849,ds032-dcr,SAM,4
ds014-hvacsolution-LoadFunction-10Y7KXODJLQWJ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds014-hvacsolution/4f3e8d60-d662-11ea-bb9d-0ec9495d5707,ds014-hvacsolution,SAM,4
ds014-hvacsolution-ExtractFunction-1W1AH2BIQGHRK,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds014-hvacsolution/4f3e8d60-d662-11ea-bb9d-0ec9495d5707,ds014-hvacsolution,SAM,4
ds042-sideways6-ExtractFunction-lC82UYfl9srB,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds042-sideways6/cc0210c0-0904-11ed-ba0a-0acdbdb96775,ds042-sideways6,SAM,4
ds046-staffingturnovertrainingdate-ExtractFunction-zSDrkrWqviNU,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds046-staffingturnovertrainingdates/9262ecc0-0d43-11ed-aa33-129988deb823,ds046-staffingturnovertrainingdates,SAM,4
ds009-adp-PreIngestionFunction-KVUJ97UI49O1,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds009-adp/df7e67c0-d65c-11ea-a528-0e660dd6b3d4,ds009-adp,SAM,4
ds037-incentivemgmtfees-LoadFunction-cfsLamjalbUr,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds037-incentivemgmtfees/4de37670-9b59-11ec-a4cf-0e2373c16185,ds037-incentivemgmtfees,SAM,4
ds047-staffingkeypolicydates-LoadFunction-KvyYX9AVvIId,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds047-staffingkeypolicydates/0ec1f040-0ed4-11ed-8e1b-0eb7cabfb9c9,ds047-staffingkeypolicydates,SAM,4
ds001-yardi-TransformFunction-aXB8JvKRSBTw,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds001-yardi/52855e20-2221-11ec-9d85-0eeab89089ef,ds001-yardi,SAM,4
ds035-staffingmapping-ExtractFunction-ta5ByhwBMjWZ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds035-staffingmapping/c0fd8340-7ae2-11ec-9496-0a7f234b925f,ds035-staffingmapping,SAM,4
ds052-complaintsdailysnapshot-TransformFunction-vugSpmPqnxmh,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds052-complaintsdailysnapshot/34be6da0-b86b-11ed-8b09-1201d603eda3,ds052-complaintsdailysnapshot,SAM,4
ds037-incentivemgmtfees-PreIngestionFunction-aOXwF72JnQDS,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds037-incentivemgmtfees/4de37670-9b59-11ec-a4cf-0e2373c16185,ds037-incentivemgmtfees,SAM,4
ds053-complaintsmonthlysnapshot-TransformFunction-FCNX1YzlnXZk,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds053-complaintsmonthlysnapshot/a37eeb90-9e5b-11ed-a13a-0eea8eb3e84f,ds053-complaintsmonthlysnapshot,SAM,4
ds040-armyincentivemgmtfees-TransformFunction-YH0zfl10MZEG,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds040-armyincentivemgmtfees/e81c7970-aadc-11ec-9d91-0a5ee45c72b7,ds040-armyincentivemgmtfees,SAM,4
ds019-thirdpartycontractorattendan-ExtractFunction-QQL5GR4JT8QJ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds019-thirdpartycontractorattendance/64053170-d66e-11ea-9bff-12eeb59f3ad1,ds019-thirdpartycontractorattendance,SAM,4
ds046-staffingturnovertrainingda-TransformFunction-j023icKznmyV,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds046-staffingturnovertrainingdates/9262ecc0-0d43-11ed-aa33-129988deb823,ds046-staffingturnovertrainingdates,SAM,4
ds052-complaintsdailysnapshot-PreIngestionFunction-kSy7NbboGtak,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds052-complaintsdailysnapshot/34be6da0-b86b-11ed-8b09-1201d603eda3,ds052-complaintsdailysnapshot,SAM,4
ds033-dcrprojectmapping-LoadFunction-byXhL3Bg2XwP,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds033-dcrprojectmapping/cc4fa580-205a-11ec-a44b-0a6da4dd8b6b,ds033-dcrprojectmapping,SAM,4
ds013-displacedresidents-ExtractFunction-140QE5G778WVQ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds013-displacedresidents/f6953700-d660-11ea-9758-0e6b672d4ae7,ds013-displacedresidents,SAM,4
ds006-lifeworks-TransformFunction-86NQNMWE3OZW,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds006-lifeworks/d75c7bd0-d658-11ea-b4b8-0ee5b74c6229,ds006-lifeworks,SAM,4
ds014-hvacsolution-TransformFunction-1O7WUDR1RLETS,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds014-hvacsolution/4f3e8d60-d662-11ea-bb9d-0ec9495d5707,ds014-hvacsolution,SAM,4
ds054-staffingbudgetedheadcount-TransformFunction-BhylepbjVuST,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds054-staffingbudgetedheadcount/61b0c3b0-c3fd-11ed-a066-0a404dda2677,ds054-staffingbudgetedheadcount,SAM,4
ds004-rentcafe-PreIngestionFunction-BGYGS2935CK8,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds004-rentcafe/9610b0c0-d652-11ea-835f-127c6c2d7f71,ds004-rentcafe,SAM,4
ds034-staffing-TransformFunction-SABeil58qmb7,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds034-staffing/6b325ae0-47ce-11ec-9866-0a6822989155,ds034-staffing,SAM,4
ds007-satisfacts-TransformFunction-MIRQX1RWT8U6,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds007-satisfacts/2f7ddd80-d65a-11ea-89ed-0e167b726915,ds007-satisfacts,SAM,4
ds007-satisfacts-PreIngestionFunction-1G2BTJIMLUVIZ,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds007-satisfacts/2f7ddd80-d65a-11ea-89ed-0e167b726915,ds007-satisfacts,SAM,4
ds051-complaintsmapping-ExtractFunction-2V4Pgs1IUmHg,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds051-complaintsmapping/ba5c1bd0-b84b-11ed-918a-1228ee828b09,ds051-complaintsmapping,SAM,4
1200b581-89f0-4ae9-9f49-bc755919f432,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
56e21f34-5fce-41f2-adcd-deea5f2df925,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
5d428588-90e6-43f4-a1ff-92e3ea1f8390,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
6aeffce8-4247-405e-8545-7cdfe282f2d8,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
7e068a7d-9feb-435b-b828-596338b18e30,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
8919a4d4-55c0-481e-8e7f-f93bc3db25ba,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
a47bdda7-9920-40e6-abf9-cd145a5fae76,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
cf3a8fc7-b1b5-4699-bd7a-b8ff7ba4717f,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
d0eaf6f6-0e8b-43b3-aad0-2dadacf49064,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
feebf4d9-5249-4661-b189-8e4be16ffafd,(not tagged),KMS,Key,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),0
