Identifier,Tag: Name,Service,Type,Region,Tag: CostCentre,Tag: Domain,Tag: Environment,Tag: ManagedStackSource,Tag: aws:cloudformation:logical-id,Tag: aws:cloudformation:stack-id,Tag: aws:cloudformation:stack-name,Tag: lambda:createdBy,Tags
ds030-dayforcehcm-PreIngestionFunction-Fk0RBqzf2PTv,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds030-dayforcehcm/096ecd70-1a38-11ec-910c-0a3d0a4ac375,ds030-dayforcehcm,SAM,4
ds007-satisfacts-ExtractFunction-103KMVHKEWYGT,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds007-satisfacts/2f7ddd80-d65a-11ea-89ed-0e167b726915,ds007-satisfacts,SAM,4
ds020-birddogadpmapping-PreIngestionFunction-QAVZZD86LTFG,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds020-birddogadpmapping/56127580-d666-11ea-8d3c-0e71a2c850a7,ds020-birddogadpmapping,SAM,4
ds049-complaints-ExtractFunction-cxqkmQLger9s,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds049-complaints/ccfc2de0-b77c-11ed-9635-125478ba393d,ds049-complaints,SAM,4
ds045-staffingturnovermapping-TransformFunction-8Kfu3Orrvc4I,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds045-staffingturnovermapping/97888d10-07bf-11ed-9c09-0ebf23891dc1,ds045-staffingturnovermapping,SAM,4
ds023-adplocation-TransformFunction-9MAU5J0X05GF,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds023-adplocation/bac6d8e0-d66b-11ea-baca-121b58656156,ds023-adplocation,SAM,4
ds042-sideways6-PreIngestionFunction-aiEO3wPz976T,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds042-sideways6/cc0210c0-0904-11ed-ba0a-0acdbdb96775,ds042-sideways6,SAM,4
ds036-feerevenue-LoadFunction-IsX86wICfQYW,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds036-feerevenue/43e04e00-8e89-11ec-8bc6-0e7044379437,ds036-feerevenue,SAM,4
ds018-annualcelreport-PreIngestionFunction-172P6IM1CYH6F,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds018-annualcelreport/fadde060-d664-11ea-8750-1214c28caebf,ds018-annualcelreport,SAM,4
ds017-commandersevaluationreport-LoadFunction-1LC6DUJ4ZVBCO,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),LoadFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds017-commandersevaluationreport/0f8a1b70-d66d-11ea-90d7-1266e578c117,ds017-commandersevaluationreport,SAM,4
ds021-budgetadpmapping-ExtractFunction-5STDV4VUCVEK,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds021-budgetadpmapping/aa3f9290-d667-11ea-8218-12e346dd5d0c,ds021-budgetadpmapping,SAM,4
ds044-staffingturnoversummary-ExtractFunction-Z9dwyvZ17eMs,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds044-staffingturnoversummary/5bb53ef0-0864-11ed-8cb8-0e2f1a71649d,ds044-staffingturnoversummary,SAM,4
ds035-staffingmapping-PreIngestionFunction-lZxNv9Y9SjSK,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),PreIngestionFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds035-staffingmapping/c0fd8340-7ae2-11ec-9496-0a7f234b925f,ds035-staffingmapping,SAM,4
ds032-dcr-TransformFunction-F1isQmMg9sIz,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),TransformFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds032-dcr/a4465f20-205f-11ec-980c-0ae9b1293849,ds032-dcr,SAM,4
ds005-navex-ExtractFunction-1MFQG4XM8Q88X,(not tagged),Lambda,Function,us-east-1,(not tagged),(not tagged),(not tagged),(not tagged),ExtractFunction,arn:aws:cloudformation:us-east-1:593301682982:stack/ds005-navex/b01058c0-dbe0-11ea-9bfd-1288d43a03c2,ds005-navex,SAM,4
