"DNSHostName"
"HQVSVTLINE02.bbcgrp.local"
"HQVSVRAD01.bbcgrp.local"
"HQVSVFAS02.bbcgrp.local"
"HQVSVSFTP01.bbcgrp.local"
"HQVSVSQL05.bbcgrp.local"
"HQVSVCA01.bbcgrp.local"
"HQVSVTS02.bbcgrp.local"
"HQVSVWEB02.bbcgrp.local"
"HQVSVARGUS01.bbcgrp.local"
"HQVSVSQL01.bbcgrp.local"
"HQVSVSQL02.bbcgrp.local"
"HQVSVTS01.bbcgrp.local"
"HQVSVTS04.bbcgrp.local"
"HQPSVITSV03.bbcgrp.local"
"HQVSVWSUS02.bbcgrp.local"
"HQVSVLNSW01.bbcgrp.local"
"HQVSVITSV01.bbcgrp.local"
"DALLAPSGRP.bbcgrp.local"
"HQVSVPRT03.bbcgrp.local"
"HQVSVMAIL02.bbcgrp.local"
"HQVSVSQL03.bbcgrp.local"
